// 2018-01-15 09:01:56
// White wins

15
(Black) AI.AI_Guardian@2b749dad
(White) AI.AI_Guardian@561dd620
7 7
6 6
6 7
7 6
8 7
5 7
5 6
7 8
9 7
10 7
7 5
8 6
9 6
9 8
8 9
8 8
6 8
10 8
11 8
10 9
10 6
9 5
10 10
6 5
10 5
11 4
10 4
10 3
11 5
11 6
12 5
12 4
12 6
9 3
13 5
14 5
9 4
11 3
12 3
8 3
7 3
9 2
7 4
8 4
8 2
10 2
9 1
6 4
7 2
7 1
11 2
8 1
7 0
10 1
11 1
6 3
6 2
5 2
13 7
14 8
12 7
12 8
11 7
5 4
4 3
5 3
5 1
4 4
3 4
4 5
3 5
3 6
2 7
4 6
4 7
3 8
4 8
5 9
3 7
2 6
1 7
0 7
1 6
1 8
3 3
3 2
4 2
2 4
4 1
3 1
11 9
11 10
12 11
2 5
2 3
1 3
2 2
1 4
11 11
12 12
10 11
9 11
10 12
12 10
10 13
10 14
11 12
13 10
9 10
12 13
9 12
8 11
8 12
7 12
7 11
9 13
8 10
7 10
6 9
6 10
5 10
13 11
11 13
13 12
13 13
13 9
13 8
11 14
13 6
13 4
4 9
4 10
5 11
4 11
6 12
5 13
4 12
6 13
5 12
3 12
4 13
3 11
2 12
3 10
3 9
2 9
