// 2018-01-15 19:16:06
19
(Black) AI.AI_Guardian@17b39172
(White) AI.AI_Guardian@3ce1d2ea
9 9
8 8
8 9
10 9
7 9
6 9
8 10
10 8
9 8
9 10
7 10
10 7
10 10
7 11
9 11
6 8
11 8
6 10
6 11
5 12
11 9
12 8
5 9
11 10
8 12
7 13
8 11
8 13
6 13
6 7
6 6
10 6
10 5
11 7
9 5
9 7
12 7
8 7
7 7
7 8
5 10
5 8
4 8
4 9
7 6
8 6
8 5
7 5
6 4
10 12
11 6
9 4
11 5
12 5
13 8
14 9
13 9
13 7
3 10
9 13
10 13
8 14
11 11
6 12
5 11
9 12
10 11
12 11
12 12
13 13
13 12
7 12
7 14
13 10
15 8
4 12
3 12
9 14
9 15
4 11
4 13
5 14
5 13
3 13
14 12
15 12
14 11
12 13
14 13
14 14
7 15
8 15
10 15
8 16
8 17
9 16
7 16
7 17
5 5
4 4
4 6
3 7
5 6
3 6
4 7
6 5
3 5
5 4
4 5
5 7
7 3
8 2
2 5
1 5
11 4
11 3
12 3
13 2
14 8
15 7
16 8
17 8
3 4
4 3
2 3
1 2
2 4
2 6
1 3
0 2
2 2
2 1
3 2
3 3
1 4
4 1
3 1
4 2
4 0
0 4
0 3
12 6
13 5
12 10
14 10
13 11
13 6
14 5
14 7
16 9
15 6
16 5
4 10
3 11
2 10
1 10
3 9
2 8
1 11
0 12
8 4
6 2
5 3
7 2
5 2
9 2
10 2
8 3
6 1
7 4
10 1
11 2
10 3
10 4
9 3
11 1
12 2
12 1
14 3
8 1
6 3
13 1
14 1
13 3
13 4
14 2
15 3
15 1
12 4
14 4
15 5
15 4
15 2
16 3
16 4
14 6
16 1
17 0
17 2
17 3
16 2
10 14
11 14
11 15
12 16
10 16
12 14
12 15
6 15
13 15
14 15
15 13
15 14
13 16
13 14
16 12
17 11
16 15
15 9
16 10
16 11
15 11
17 7
18 6
18 7
15 15
16 16
15 16
14 17
2 7
1 6
1 8
1 9
1 7
2 9
9 17
16 6
10 17
5 1
11 17
12 17
17 9
13 17
15 17
14 16
17 1
6 14
6 16
5 15
4 15
5 16
4 17
4 16
3 17
5 17
3 15
3 16
2 16
1 15
1 17
2 17
4 14
0 18
3 8
2 11
2 12
1 12
1 13
2 13
3 14
2 14
1 14
11 16
16 13
17 13
17 12
17 14
16 14
17 15
17 16
15 0
16 17
17 17
15 18
0 13
1 1
1 16
0 15
0 16
7 1
6 17
17 4
17 5
17 10
15 10
14 18
13 18
16 18
17 18
3 0
14 0
13 0
11 12
16 7
2 15
9 1
1 18
2 18
5 0
6 0
17 6
0 1
18 8
18 9
0 5
0 11
0 10
2 0
1 0
3 18
4 18
12 0
11 0
16 0
18 5
18 4
18 3
18 10
18 11
0 6
0 9
0 8
10 0
9 0
18 2
18 1
18 12
18 13
18 14
18 15
18 16
18 17
9 6
12 9
11 13
0 0
0 7
0 14
0 17
5 18
6 18
7 18
7 0
8 0
8 18
9 18
10 18
11 18
12 18
18 0
18 18
