// 2018-01-12 17:10:18
15
(Black) AI.AI_Guardian@561dd620
(White) AI.AI_Guardian@2b749dad
7 7
6 6
6 7
7 6
7 8
5 6
8 6
7 5
8 7
8 8
5 5
4 6
3 6
5 7
4 8
6 8
7 9
3 5
2 4
6 9
5 8
5 9
4 9
4 10
3 11
3 10
5 10
6 10
6 11
3 8
4 7
2 5
7 10
7 11
8 9
9 8
9 9
3 9
4 5
5 11
6 12
5 12
7 12
8 13
8 12
4 11
6 13
4 12
9 12
10 12
8 11
9 10
10 9
11 9
10 8
10 10
10 13
11 14
5 13
4 13
4 14
11 10
12 10
3 13
2 14
9 11
11 13
9 13
11 11
2 8
1 7
2 7
2 9
1 6
3 4
4 4
8 5
8 4
9 3
7 4
7 3
6 4
5 4
5 3
6 2
9 4
10 4
8 3
6 3
7 2
6 1
8 2
9 2
8 1
8 0
10 5
11 6
9 1
11 5
11 7
12 6
13 7
12 8
12 7
10 7
13 6
11 8
13 8
13 9
12 9
11 4
10 11
14 7
11 3
12 4
13 5
13 4
14 4
12 5
14 3
12 3
12 2
13 3
10 6
13 2
13 1
14 5
11 2
2 10
10 1
11 1
11 12
12 13
12 12
13 13
14 13
13 12
1 5
1 4
1 8
1 9
3 12
2 11
2 12
1 12
2 13
1 13
1 11
13 11
13 10
12 11
4 2
3 1
4 3
5 1
4 1
4 0
3 2
2 3
2 2
1 2
0 1
2 1
1 3
3 0
5 0
3 14
1 14
5 14
6 14
10 3
14 2
14 1
3 3
1 1
2 0
10 2
12 1
7 0
9 0
14 6
14 8
12 14
0 2
0 3
14 12
14 11
0 4
1 10
9 5
9 6
3 7
2 6
7 1
7 13
1 0
13 14
7 14
8 14
10 0
11 0
10 14
12 0
13 0
14 10
6 5
9 7
8 10
5 2
0 0
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
6 0
9 14
14 0
14 9
14 14
